English,Telugu,Hindi,Kannada
"Hello, how are you?","హలో, మీరు ఎలా ఉన్నారు?","नमस्ते, आप कैसे हैं?","ಹಲೋ, ಹೇಗಿದ್ದೀರಾ?"
Good morning! Have a great day.,గుడ్ మార్నింగ్!గొప్ప రోజు.,शुभ प्रभात!आपका दिन अच्छा रहे।,ಶುಭೋದಯ!ಉತ್ತಮ ದಿನ.
I love learning new languages.,నేను కొత్త భాషలను నేర్చుకోవడం చాలా ఇష్టం.,मुझे नई भाषाएँ सीखना पसंद है।,ನಾನು ಹೊಸ ಭಾಷೆಗಳನ್ನು ಕಲಿಯಲು ಇಷ್ಟಪಡುತ್ತೇನೆ.
This is a translation project.,ఇది అనువాద ప్రాజెక్ట్.,यह एक अनुवाद परियोजना है।,ಇದು ಅನುವಾದ ಯೋಜನೆಯಾಗಿದೆ.
We are developing an AI-powered translator.,మేము AI- శక్తితో కూడిన అనువాదకుడిని అభివృద్ధి చేస్తున్నాము.,हम एक एआई-संचालित अनुवादक विकसित कर रहे हैं।,ನಾವು AI- ಚಾಲಿತ ಭಾಷಾಂತರಕಾರನನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸುತ್ತಿದ್ದೇವೆ.
She is an excellent teacher.,ఆమె అద్భుతమైన గురువు.,वह एक उत्कृष्ट शिक्षक हैं।,ಅವಳು ಅತ್ಯುತ್ತಮ ಶಿಕ್ಷಕ.
They are planning to visit India next year.,వారు వచ్చే ఏడాది భారతదేశాన్ని సందర్శించాలని యోచిస్తున్నారు.,वे अगले साल भारत का दौरा करने की योजना बना रहे हैं।,ಅವರು ಮುಂದಿನ ವರ್ಷ ಭಾರತಕ್ಕೆ ಭೇಟಿ ನೀಡಲು ಯೋಜಿಸುತ್ತಿದ್ದಾರೆ.
The weather is beautiful today.,ఈ రోజు వాతావరణం అందంగా ఉంది.,आज मौसम सुंदर है।,ಹವಾಮಾನ ಇಂದು ಸುಂದರವಾಗಿದೆ.
I enjoy reading books in my free time.,నా ఖాళీ సమయంలో పుస్తకాలు చదవడం ఆనందించాను.,मुझे अपने खाली समय में किताबें पढ़ने में मजा आता है।,ನನ್ನ ಬಿಡುವಿನ ವೇಳೆಯಲ್ಲಿ ಪುಸ್ತಕಗಳನ್ನು ಓದುವುದನ್ನು ನಾನು ಆನಂದಿಸುತ್ತೇನೆ.
Technology is evolving rapidly.,సాంకేతికత వేగంగా అభివృద్ధి చెందుతోంది.,प्रौद्योगिकी तेजी से विकसित हो रही है।,ತಂತ್ರಜ್ಞಾನವು ವೇಗವಾಗಿ ವಿಕಸನಗೊಳ್ಳುತ್ತಿದೆ.
Artificial intelligence is transforming the world.,కృత్రిమ మేధస్సు ప్రపంచాన్ని మారుస్తోంది.,आर्टिफिशियल इंटेलिजेंस दुनिया को बदल रहा है।,ಕೃತಕ ಬುದ್ಧಿಮತ್ತೆ ಜಗತ್ತನ್ನು ಪರಿವರ್ತಿಸುತ್ತಿದೆ.
He is working on a new research project.,అతను కొత్త పరిశోధన ప్రాజెక్టులో పనిచేస్తున్నాడు.,वह एक नए शोध परियोजना पर काम कर रहा है।,ಅವರು ಹೊಸ ಸಂಶೋಧನಾ ಯೋಜನೆಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.
Can you help me with this problem?,ఈ సమస్యతో మీరు నాకు సహాయం చేయగలరా?,क्या आप इस समस्या में मेरी मदद कर सकते हैं?,ಈ ಸಮಸ್ಯೆಗೆ ನೀವು ನನಗೆ ಸಹಾಯ ಮಾಡಬಹುದೇ?
The internet has changed the way we live.,మేము జీవించే విధానాన్ని ఇంటర్నెట్ మార్చింది.,इंटरनेट ने हमारे जीने के तरीके को बदल दिया है।,ಇಂಟರ್ನೆಟ್ ನಾವು ವಾಸಿಸುವ ವಿಧಾನವನ್ನು ಬದಲಾಯಿಸಿದೆ.
I like to watch movies on weekends.,నేను వారాంతాల్లో సినిమాలు చూడటం ఇష్టం.,मुझे सप्ताहांत पर फिल्में देखना पसंद है।,ನಾನು ವಾರಾಂತ್ಯದಲ್ಲಿ ಚಲನಚಿತ್ರಗಳನ್ನು ವೀಕ್ಷಿಸಲು ಇಷ್ಟಪಡುತ್ತೇನೆ.
Education is the key to success.,విజయానికి విద్య కీలకం.,शिक्षा सफलता की कुंजी है।,ಶಿಕ್ಷಣವು ಯಶಸ್ಸಿಗೆ ಪ್ರಮುಖವಾಗಿದೆ.
Practice makes a person perfect.,ప్రాక్టీస్ ఒక వ్యక్తిని పరిపూర్ణంగా చేస్తుంది.,अभ्यास एक व्यक्ति को परिपूर्ण बनाता है।,ಅಭ್ಯಾಸವು ಒಬ್ಬ ವ್ಯಕ್ತಿಯನ್ನು ಪರಿಪೂರ್ಣವಾಗಿಸುತ್ತದೆ.
We should always be kind to others.,మేము ఎల్లప్పుడూ ఇతరులతో దయగా ఉండాలి.,हमें हमेशा दूसरों के प्रति दयालु होना चाहिए।,ನಾವು ಯಾವಾಗಲೂ ಇತರರೊಂದಿಗೆ ದಯೆ ತೋರಿಸಬೇಕು.
Music brings joy to life.,సంగీతం ప్రాణం పోస్తుంది.,संगीत जीवन में खुशी लाता है।,ಸಂಗೀತವು ಜೀವನಕ್ಕೆ ಸಂತೋಷವನ್ನು ತರುತ್ತದೆ.
She won the first prize in the competition.,పోటీలో ఆమె మొదటి బహుమతిని గెలుచుకుంది.,उन्होंने प्रतियोगिता में पहला पुरस्कार जीता।,ಅವರು ಸ್ಪರ್ಧೆಯಲ್ಲಿ ಪ್ರಥಮ ಬಹುಮಾನವನ್ನು ಗೆದ್ದರು.
The train was delayed due to heavy rain.,భారీ వర్షం కారణంగా రైలు ఆలస్యం అయింది.,भारी बारिश के कारण ट्रेन में देरी हुई।,ಭಾರೀ ಮಳೆಯಿಂದಾಗಿ ರೈಲು ವಿಳಂಬವಾಯಿತು.
Global warming is a serious issue.,గ్లోబల్ వార్మింగ్ తీవ్రమైన సమస్య.,ग्लोबल वार्मिंग एक गंभीर मुद्दा है।,ಜಾಗತಿಕ ತಾಪಮಾನ ಏರಿಕೆ ಗಂಭೀರ ವಿಷಯವಾಗಿದೆ.
I want to travel around the world.,నేను ప్రపంచవ్యాప్తంగా పర్యటించాలనుకుంటున్నాను.,मैं दुनिया भर में यात्रा करना चाहता हूं।,ನಾನು ಪ್ರಪಂಚದಾದ್ಯಂತ ಪ್ರಯಾಣಿಸಲು ಬಯಸುತ್ತೇನೆ.
He is a very talented musician.,అతను చాలా ప్రతిభావంతులైన సంగీతకారుడు.,वह बहुत प्रतिभाशाली संगीतकार हैं।,ಅವರು ಬಹಳ ಪ್ರತಿಭಾವಂತ ಸಂಗೀತಗಾರ.
Learning new skills is important for growth.,కొత్త నైపుణ్యాలను నేర్చుకోవడం వృద్ధికి ముఖ్యం.,विकास के लिए नए कौशल सीखना महत्वपूर्ण है।,ಹೊಸ ಕೌಶಲ್ಯಗಳನ್ನು ಕಲಿಯುವುದು ಬೆಳವಣಿಗೆಗೆ ಮುಖ್ಯವಾಗಿದೆ.
She is writing a novel about history.,ఆమె చరిత్ర గురించి ఒక నవల రాస్తోంది.,वह इतिहास के बारे में एक उपन्यास लिख रही है।,ಅವಳು ಇತಿಹಾಸದ ಬಗ್ಗೆ ಒಂದು ಕಾದಂಬರಿ ಬರೆಯುತ್ತಿದ್ದಾಳೆ.
The festival was celebrated with great enthusiasm.,ఈ ఉత్సవాన్ని చాలా ఉత్సాహంతో జరుపుకున్నారు.,त्योहार को बड़े उत्साह के साथ मनाया गया।,ಉತ್ಸವವನ್ನು ಬಹಳ ಉತ್ಸಾಹದಿಂದ ಆಚರಿಸಲಾಯಿತು.
Innovation drives progress in science and technology.,ఇన్నోవేషన్ సైన్స్ అండ్ టెక్నాలజీలో పురోగతిని నడిపిస్తుంది.,नवाचार विज्ञान और प्रौद्योगिकी में प्रगति करता है।,ನಾವೀನ್ಯತೆ ವಿಜ್ಞಾನ ಮತ್ತು ತಂತ್ರಜ್ಞಾನದಲ್ಲಿ ಪ್ರಗತಿಯನ್ನು ಹೆಚ್ಚಿಸುತ್ತದೆ.
The team is working on a new project.,బృందం కొత్త ప్రాజెక్ట్‌లో పనిచేస్తోంది.,टीम एक नई परियोजना पर काम कर रही है।,ತಂಡವು ಹೊಸ ಯೋಜನೆಯಲ್ಲಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿದೆ.
Hard work and dedication lead to success.,కృషి మరియు అంకితభావం విజయానికి దారితీస్తాయి.,कड़ी मेहनत और समर्पण सफलता की ओर ले जाता है।,ಕಠಿಣ ಪರಿಶ್ರಮ ಮತ್ತು ಸಮರ್ಪಣೆ ಯಶಸ್ಸಿಗೆ ಕಾರಣವಾಗುತ್ತದೆ.
Communication skills are essential in every profession.,ప్రతి వృత్తిలో కమ్యూనికేషన్ నైపుణ్యాలు అవసరం.,हर पेशे में संचार कौशल आवश्यक हैं।,ಪ್ರತಿ ವೃತ್ತಿಯಲ್ಲಿ ಸಂವಹನ ಕೌಶಲ್ಯಗಳು ಅವಶ್ಯಕ.
She is an expert in digital marketing.,ఆమె డిజిటల్ మార్కెటింగ్‌లో నిపుణురాలు.,वह डिजिटल मार्केटिंग में विशेषज्ञ हैं।,ಅವರು ಡಿಜಿಟಲ್ ಮಾರ್ಕೆಟಿಂಗ್‌ನಲ್ಲಿ ಪರಿಣತರಾಗಿದ್ದಾರೆ.
They are building a new bridge across the river.,వారు నదికి కొత్త వంతెనను నిర్మిస్తున్నారు.,वे नदी के पार एक नया पुल बना रहे हैं।,ಅವರು ನದಿಗೆ ಅಡ್ಡಲಾಗಿ ಹೊಸ ಸೇತುವೆಯನ್ನು ನಿರ್ಮಿಸುತ್ತಿದ್ದಾರೆ.
The company launched a new product last month.,కంపెనీ గత నెలలో కొత్త ఉత్పత్తిని ప్రారంభించింది.,कंपनी ने पिछले महीने एक नया उत्पाद लॉन्च किया था।,ಕಂಪನಿಯು ಕಳೆದ ತಿಂಗಳು ಹೊಸ ಉತ್ಪನ್ನವನ್ನು ಪ್ರಾರಂಭಿಸಿತು.
Exercise is necessary for a healthy life.,ఆరోగ్యకరమైన జీవితానికి వ్యాయామం అవసరం.,स्वस्थ जीवन के लिए व्यायाम आवश्यक है।,ಆರೋಗ್ಯಕರ ಜೀವನಕ್ಕೆ ವ್ಯಾಯಾಮ ಅಗತ್ಯ.
Reading newspapers keeps us updated with current events.,వార్తాపత్రికలను చదవడం ప్రస్తుత సంఘటనలతో మమ్మల్ని నవీకరిస్తుంది.,अखबारों को पढ़ना हमें वर्तमान घटनाओं के साथ अपडेट करता है।,ಪತ್ರಿಕೆಗಳನ್ನು ಓದುವುದು ಪ್ರಸ್ತುತ ಘಟನೆಗಳೊಂದಿಗೆ ನಮ್ಮನ್ನು ನವೀಕರಿಸುತ್ತದೆ.
The new smartphone has advanced features.,కొత్త స్మార్ట్‌ఫోన్‌లో అధునాతన లక్షణాలు ఉన్నాయి.,नए स्मार्टफोन में उन्नत सुविधाएँ हैं।,ಹೊಸ ಸ್ಮಾರ್ಟ್‌ಫೋನ್ ಸುಧಾರಿತ ವೈಶಿಷ್ಟ್ಯಗಳನ್ನು ಹೊಂದಿದೆ.
I enjoy cooking traditional dishes.,నేను సాంప్రదాయ వంటకాలు వండటం ఆనందించాను.,मुझे पारंपरिक व्यंजन पकाने में मज़ा आता है।,ಸಾಂಪ್ರದಾಯಿಕ ಭಕ್ಷ್ಯಗಳನ್ನು ಅಡುಗೆ ಮಾಡುವುದನ್ನು ನಾನು ಆನಂದಿಸುತ್ತೇನೆ.
He is learning how to play the guitar.,అతను గిటార్ ఎలా ప్లే చేయాలో నేర్చుకుంటున్నాడు.,वह गिटार बजाना सीख रहा है।,ಅವರು ಗಿಟಾರ್ ನುಡಿಸುವುದು ಹೇಗೆ ಎಂದು ಕಲಿಯುತ್ತಿದ್ದಾರೆ.
The park is a great place for morning walks.,ఉద్యానవన నడకలకు ఈ ఉద్యానవనం గొప్ప ప్రదేశం.,पार्क सुबह की सैर के लिए एक शानदार जगह है।,ಬೆಳಿಗ್ಗೆ ನಡಿಗೆಗೆ ಉದ್ಯಾನವನವು ಉತ್ತಮ ಸ್ಥಳವಾಗಿದೆ.
Robots are being used in various industries.,రోబోలను వివిధ పరిశ్రమలలో ఉపయోగిస్తున్నారు.,विभिन्न उद्योगों में रोबोट का उपयोग किया जा रहा है।,ರೋಬೋಟ್‌ಗಳನ್ನು ವಿವಿಧ ಕೈಗಾರಿಕೆಗಳಲ್ಲಿ ಬಳಸಲಾಗುತ್ತಿದೆ.
The government is working on improving infrastructure.,మౌలిక సదుపాయాలను మెరుగుపరచడానికి ప్రభుత్వం కృషి చేస్తోంది.,सरकार बुनियादी ढांचे में सुधार पर काम कर रही है।,ಮೂಲಸೌಕರ್ಯಗಳನ್ನು ಸುಧಾರಿಸುವ ಸರ್ಕಾರ ಕೆಲಸ ಮಾಡುತ್ತಿದೆ.
She is attending a conference on artificial intelligence.,ఆమె కృత్రిమ మేధస్సుపై ఒక సమావేశానికి హాజరవుతోంది.,वह आर्टिफिशियल इंटेलिजेंस पर एक सम्मेलन में भाग ले रही हैं।,ಅವರು ಕೃತಕ ಬುದ್ಧಿಮತ್ತೆಯ ಸಮ್ಮೇಳನದಲ್ಲಿ ಭಾಗವಹಿಸುತ್ತಿದ್ದಾರೆ.
The university offers various courses in science and arts.,విశ్వవిద్యాలయం సైన్స్ అండ్ ఆర్ట్స్‌లో వివిధ కోర్సులను అందిస్తుంది.,विश्वविद्यालय विज्ञान और कला में विभिन्न पाठ्यक्रम प्रदान करता है।,ವಿಶ್ವವಿದ್ಯಾನಿಲಯವು ವಿಜ್ಞಾನ ಮತ್ತು ಕಲೆಗಳಲ್ಲಿ ವಿವಿಧ ಕೋರ್ಸ್‌ಗಳನ್ನು ನೀಡುತ್ತದೆ.
Traveling helps us learn about different cultures.,వివిధ సంస్కృతుల గురించి తెలుసుకోవడానికి ప్రయాణం మాకు సహాయపడుతుంది.,यात्रा हमें विभिन्न संस्कृतियों के बारे में जानने में मदद करती है।,ವಿಭಿನ್ನ ಸಂಸ್ಕೃತಿಗಳ ಬಗ್ಗೆ ಕಲಿಯಲು ಪ್ರಯಾಣ ನಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ.
The library has a vast collection of books.,లైబ్రరీలో విస్తారమైన పుస్తకాల సేకరణ ఉంది.,पुस्तकालय में पुस्तकों का एक विशाल संग्रह है।,ಗ್ರಂಥಾಲಯವು ಪುಸ್ತಕಗಳ ಅಪಾರ ಸಂಗ್ರಹವನ್ನು ಹೊಂದಿದೆ.
He received an award for his outstanding performance.,తన అత్యుత్తమ నటనకు అవార్డు అందుకున్నాడు.,उन्हें उनके उत्कृष्ट प्रदर्शन के लिए एक पुरस्कार मिला।,ಅವರ ಅತ್ಯುತ್ತಮ ಪ್ರದರ್ಶನಕ್ಕಾಗಿ ಅವರು ಪ್ರಶಸ್ತಿ ಪಡೆದರು.
We should take care of our environment.,మన పర్యావరణాన్ని జాగ్రత్తగా చూసుకోవాలి.,हमें अपने पर्यावरण का ख्याल रखना चाहिए।,ನಾವು ನಮ್ಮ ಪರಿಸರವನ್ನು ನೋಡಿಕೊಳ್ಳಬೇಕು.
She is conducting research on climate change.,ఆమె వాతావరణ మార్పులపై పరిశోధనలు చేస్తోంది.,वह जलवायु परिवर्तन पर शोध कर रही है।,ಅವರು ಹವಾಮಾನ ಬದಲಾವಣೆಯ ಬಗ್ಗೆ ಸಂಶೋಧನೆ ನಡೆಸುತ್ತಿದ್ದಾರೆ.
The museum displays ancient artifacts.,మ్యూజియం పురాతన కళాఖండాలను ప్రదర్శిస్తుంది.,संग्रहालय प्राचीन कलाकृतियों को प्रदर्शित करता है।,ವಸ್ತುಸಂಗ್ರಹಾಲಯವು ಪ್ರಾಚೀನ ಕಲಾಕೃತಿಗಳನ್ನು ಪ್ರದರ್ಶಿಸುತ್ತದೆ.
Social media connects people from different parts of the world.,సోషల్ మీడియా ప్రపంచంలోని వివిధ ప్రాంతాల ప్రజలను కలుపుతుంది.,सोशल मीडिया दुनिया के विभिन्न हिस्सों के लोगों को जोड़ता है।,ಸಾಮಾಜಿಕ ಮಾಧ್ಯಮವು ವಿಶ್ವದ ವಿವಿಧ ಭಾಗಗಳಿಂದ ಜನರನ್ನು ಸಂಪರ್ಕಿಸುತ್ತದೆ.
The doctor advised him to follow a healthy diet.,ఆరోగ్యకరమైన ఆహారాన్ని అనుసరించమని డాక్టర్ అతనికి సలహా ఇచ్చారు.,डॉक्टर ने उसे स्वस्थ आहार का पालन करने की सलाह दी।,ಆರೋಗ್ಯಕರ ಆಹಾರವನ್ನು ಅನುಸರಿಸಲು ವೈದ್ಯರು ಸಲಹೆ ನೀಡಿದರು.
Solar energy is a renewable source of power.,సౌర శక్తి అనేది పునరుత్పాదక శక్తి యొక్క మూలం.,सौर ऊर्जा शक्ति का एक अक्षय स्रोत है।,ಸೌರಶಕ್ತಿ ಶಕ್ತಿಯ ನವೀಕರಿಸಬಹುದಾದ ಮೂಲವಾಗಿದೆ.
She enjoys painting landscapes.,ఆమె పెయింటింగ్ ల్యాండ్‌స్కేప్‌లను ఆనందిస్తుంది.,वह पेंटिंग परिदृश्य का आनंद लेती है।,ಅವಳು ಚಿತ್ರಕಲೆ ಭೂದೃಶ್ಯಗಳನ್ನು ಆನಂದಿಸುತ್ತಾಳೆ.
Teamwork is essential for success in any field.,ఏ రంగంలోనైనా విజయానికి జట్టుకృషి అవసరం.,किसी भी क्षेत्र में सफलता के लिए टीमवर्क आवश्यक है।,ಯಾವುದೇ ಕ್ಷೇತ್ರದಲ್ಲಿ ಯಶಸ್ಸಿಗೆ ತಂಡದ ಕೆಲಸ ಅತ್ಯಗತ್ಯ.
The new software improves work efficiency.,కొత్త సాఫ్ట్‌వేర్ పని సామర్థ్యాన్ని మెరుగుపరుస్తుంది.,नया सॉफ्टवेयर काम दक्षता में सुधार करता है।,ಹೊಸ ಸಾಫ್ಟ್‌ವೇರ್ ಕೆಲಸದ ದಕ್ಷತೆಯನ್ನು ಸುಧಾರಿಸುತ್ತದೆ.
The startup is developing an innovative solution.,స్టార్టప్ ఒక వినూత్న పరిష్కారాన్ని అభివృద్ధి చేస్తోంది.,स्टार्टअप एक अभिनव समाधान विकसित कर रहा है।,ಪ್ರಾರಂಭವು ನವೀನ ಪರಿಹಾರವನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸುತ್ತಿದೆ.
Education empowers individuals and societies.,విద్య వ్యక్తులు మరియు సమాజాలకు అధికారం ఇస్తుంది.,शिक्षा व्यक्तियों और समाजों को सशक्त बनाती है।,ಶಿಕ್ಷಣವು ವ್ಯಕ್ತಿಗಳು ಮತ್ತು ಸಮಾಜಗಳಿಗೆ ಅಧಿಕಾರ ನೀಡುತ್ತದೆ.
